,question,label
2167,what be the probability of a person to score 5 or more in an exam consist of 12 multiple choice question each question have 4 choice and 1 right answer ? guy answer pls with explanation ,DIRECT
5421,okay I have a concern that my result will be bad why ? because when I replace my zero value I cheat my history and for example I will get a inflated forecast ? ,DIRECT
3936,hello all can anyone recommend some resource for product data scientist role ? it s very difficult to find on the net ,DIRECT
6349,what do they mean by registered registration ? another paper on the same dataset say they take projection and do some processing on they in the actual dataset I only have 10 folder of 50 slide for each patient whereas I expect be that a side effect of the inspiration expiration matching ? how do I tell what sampling rate I m look at ? ,DIRECT
5141,because I can do that course ? ,DIRECT
5330,hey guy new to python data science I ve get some really basic question that ll show just how new I be like what s the most friendly online ide I can use ? what a good start tutorial wise ? yt vids beginner text book that help you guy ? if there s already a channel with a list i d love to be point to it ,DIRECT
706,  I want to use it in regression it be good ? necessary ? to do a log transformation first to get it into a gaussian form depend you can do other transformation like scaling and log but if your data be skewed already how good can it be ? what be your objective ? to get a well accuracy score ? or do a hypothesis test ? why not try both side by side to determine the difference ? I personally have see log transformation do very well for cluster for linear model could very well do the same but it depend on what your y be ,DIRECT
3693,  what would be interesting and would use that async appropriately be send the request to multiple service and let the user pick the most appropriate one I didn t get this exactly ? in the current workflow the user choose a service at the beginning and go along with that until now we haven t encounter a situation that justify switch to a different one after kernel launch do you have something in mind ? to clarify this design choice we be aim for a ux where the user write in plain language do not really care much about what be go on in the background and everything should just work I realize there be still a long way until we reach that point though ,DIRECT
4423,do you use any venv ? ,DIRECT
3212,so for my next personal project I be deal with a website with strong security against crawling and the dataset I need to fetch from here be in thousand but the free access just give 15 credit site use cloudfare obviously hst perimeterx security currently I be use cookie randomization from various request custom useragent custom sleeptime and custom timeout be there any other way that I be miss to bypass its security ? note its just for educational purpose not that rich to afford their plan just for a single project ,DIRECT
4516,hi guy regard time series forecasting if I use an arima or sarmiax model with exogenous variable I will be leave with an unfit error term that I can test for randomness be the next step forecast the distribution of the error term via monte carlo simulation ? I can t seem to find an answer for my question ,DIRECT
1195,very noob question here how do you know if you should remove null data point or replace the data base on average stdev normal dist etc ? be there like a guidebook for this ? ,DIRECT
6128,I m perform an elisa to test absorbance against a serial dilution of a drug what statistical analysis should I use to compare if there be a significant change in absorbance as drug concentration change ? ,DIRECT
366,what be you try to achieve ? ,DIRECT
2974,where would I be able to find stream processing benchmark comparison for spark v kafka ? throughput latency etc ? ,DIRECT
2901,which book then ? ,DIRECT
1410,what do you mean by the mlop template ? ,DIRECT
5135,cool thank alot and just to clarify this analysis stuff can be perform visualised in say powerbi or some other platform would you say something such as point 6 you mention be create as a sort of dynamic report which can change as new data be feed in ? as in in general it doesn t have to be some form of static analysis ? ,DIRECT
2341,be there any point in ever have a constant feature ? I don t see the point consider that the intersept exist but polynomialtransform have an include bias parameter which be true by default which do basically that add a column of one why ? ,DIRECT
500,basically I wanna do data science after study but right now I keep getting reject for data science internship and I don t know why but I get a data analysis bi internship should I just go for that ? ,DIRECT
5806,what be the formula ? ,DIRECT
1212,what s autoreload ? ,DIRECT
3588,  if you look at the exercise for the dataset on this page ignore that it s in r you can start to get a good idea of question to ask about data and how to find the answer compare air time with arr time dep time what do you expect to see ? what do you see ? what do you need to do to fix it ? this be my favourite example of this it ask you to look at the data then make clear your assumption about a relationship in the data then validate that assumption that s a great way to learn how to interpret data by find your implicit assumption and develop method to validate they ,DIRECT
6640,hey guy if I want to get any dataset regard fashion anything like sale figure regard fashion where do you think I should start look ? ,DIRECT
6168,  there s nothing wrong it s just an odd thing to do with a friend what do you think an ideal answer to the question that you post would have look like ? ,DIRECT
6539,what s your current role ? ,DIRECT
6556,how be datasettype test your training set ? ,DIRECT
5692,there could be a whole bunch of issue have you check what the loss and gradient value be ? ,DIRECT
2588,noob here so totally talk out of my ass but how about lemmatisation ? ,DIRECT
6702,yeah I just realize that it doesn t really make sense without an example I have a dataset with pollution data that contain the date of the measurement location type of pollutant and the measure value do that mean the dimension table would have date type and location and the measure value would be in the fact table ? I m just not sure if I m understand the concept correctly ,DIRECT
5356,I have a dataset contain row the target variable have around 16 of miss value and it be categorical the nan be mcar as it be seem to be present in all independent variable continous and categorical can anyone suggest a way to impute ? ,DIRECT
4175,how large be the team ? ,DIRECT
3327,do epoch matter for train a llm or would train for 1 epoch on a large set of sample step would lead to the same result ? ,DIRECT
4373,hr manager message I at am yesterday ask if I be available for a interview at pm smh I hadn t even see the message until 2 later send a message scheduling it for pm today I get a message today at be say can you join ? we re wait on team now I m get an actual phone call I suspect be from she ,DIRECT
3897,be there anyone who s willing to do ds mock interview with I ? ,DIRECT
4358,have anyone build a dashboard for a startup ? if so what kind of general metric be really useful ? by general I mean metric that apply to a wide range of startup ,DIRECT
5725,rie what do the test do ? ,DIRECT
3831,how big be the company ? ,DIRECT
4764,hello all time for my question about cnn lstm apply to time series again lol I m try to understand how the feature map generate by the cnn relate to the lstm in my case I have generate 24 feature map but how do an lstm help at all give that in order to create the feature map I need to convolve over the entire time series anyway ? ,DIRECT
3524,any useful project that can explain different type hypothesis testing with the help of python ? ,DIRECT
4850,what give you the matrix transformation ? ,DIRECT
6440,why be on window a no go ? ,DIRECT
266,but with the help of the online data scientist community ? ,DIRECT
425,  do anyone have issue try to import this into mysql workbench via the import wizard ? it have 867 row but it only import 187 it stop at iwaki japan and when I go to that exact line in the csv file there be nothing out of the ordinary there the log file give no error either so I have no idea where to even start try to figure out the issue I ve look on google and try the various suggestion for fix it disable strict mode change the encoding and they do not work as you can see google s sheet viewer can load it just fine as do excel ,DIRECT
2918,oh okay for which position it be ? ,DIRECT
5640,  I m wonder if take the average for the day would be well but if so would it still be possible to train that data for the 15 minute interval can you clarify what you mean by this ? ,DIRECT
5801,do someone know a good youtube video or website about eigenvalue eigenvector ? helpful would be if everything you need to calculate they for example determinant be also teach ,DIRECT
1702,what do you guy talk about ? ,DIRECT
1146,thank any recommendation what in statistic should I read ? ,DIRECT
774,just throw your question in general or free for all ? people usually put cvs in free for all if it s about that ,DIRECT
1147,training accuracy be fine to use for now but again it s about how you ll use the model eventually be it okay if it get the product name correct half the time ? be it more of a problem if it get the wrong name ? ,DIRECT
17,obviously not ? ,DIRECT
863,why quick apply be frown upon ? be it because there be low chance of getting select for a call or because recruiter use some specific filter to filter that be not find on company website ? I see this suggestion often ,DIRECT
1397,and do you remove all trace of previous python installation ? ,DIRECT
4084,be there any fun nix ? ,DIRECT
340,hi have anyone do the microsoft azure data science associate certification ? I m try to gain skill and try to get into the data science industry for a career would certification like these look good on a cv resume ? ,DIRECT
4157,hello I m try to understand the target encode exercise in the feature engineering course I don t understand why use the m estimate encoder on the train set that we then send to a cross validation process doesn t count as data leak if the whole train set be encode by the m estimator then when it be divide to train test set in the cv process then the test set in that process be encode with information that be base on its target can anyone please clarify this ? ,DIRECT
6110,do anyone have high level of knowledge about mortgage reinsurance industry and its risk factor ? I need for some r d ,DIRECT
